Feature,DT_Importance,RF_Importance
Total Working Years,0.2544408607609096,0.06144540634782621
OverTime,0.13880268897263873,0.041437278750732824
DailyRate,0.1266771887583543,0.06044073650013735
Monthly Income,0.12346623577417713,0.07657541875667166
Age,0.09674013616222245,0.06439187575164855
Hourly Rate,0.07507753627188386,0.052633935577544415
Marital Status,0.06368107032958278,0.020599347307561997
Num Companies Worked,0.04704320881696307,0.039017590661725526
Environment Satisfaction,0.027134968398563195,0.028644008979857128
Work Life Balance,0.02553840212752255,0.02652184883624402
Years Since Last Promotion,0.021397703627182463,0.023829038194156257
Education,0.0,0.02057090898551452
BusinessTravel,0.0,0.012331144692634917
Department,0.0,0.014148220550273543
Job Satisfaction,0.0,0.02364548226648726
JobRole,0.0,0.029990113711417986
Job Level,0.0,0.02134238968952434
Job Involvement,0.0,0.02728100199241314
Gender,0.0,0.011293042032888174
Education Field,0.0,0.021494325699572027
Distance From Home,0.0,0.049791873710704745
Monthly Rate,0.0,0.05033814285309247
Relationship Satisfaction,0.0,0.025412285080050535
Performance Rating,0.0,0.005100833785742993
Percent Salary Hike,0.0,0.0337044478145776
Stock Option Level,0.0,0.025733079591279334
Training Times LastYear,0.0,0.024817343582084306
Years At Company,0.0,0.04574220695436335
Years In CurrentRole,0.0,0.028002522905079822
Years With Curr Manager,0.0,0.03372414843819293
